1.002	-0.04
1.006	0.06
1.009	0.18
1.01	0.21
1.01	0.15
1.01	0
1.01	0
1.01	-0.11
1.01	-0.35
1.013	0.38
1.013	0.14
1.017	0.17
1.017	0.09
1.018	0.09
1.019	0.2
1.02	0.2
1.02	0.03
1.02	0
1.02	-0.06
1.02	-0.24
1.02	-0.24
1.02	-0.26
1.023	0
1.025	0.08
1.025	-0.1
1.03	0.05
1.032	0.14
1.034	-0.31
1.037	0.04
1.037	-0.01
1.038	0
1.04	0.33
1.04	0.33
1.04	0.33
1.04	0.3
1.04	0.28
1.04	0.27
1.04	0.27
1.04	0.25
1.04	0.23
1.042	0.3
1.042	0.3
1.042	0.3
1.042	-0.14
1.05	0.21
1.05	0.2
1.05	-0.205
1.05	-0.22
1.057	-0.22
1.06	0.144
1.07	0.41
1.071	0.29
1.071	0.16
1.075	0.28
1.08	0.42
1.08	-0.15
1.09	0.04
1.091	0.545
1.091	0.545
1.106	0.1
1.106	0.1
1.109	-0.15
1.11	-0.03
1.115	0.28
1.117	-0.02
1.117	-0.02
1.118	0.14
1.126	0.15
1.156	-0.33
1.159	0.42
1.16	0.29
1.165	0.02
1.165	-0.03
1.17	-0.25
1.18	0.69
1.186	0.31
1.19	0.31
1.19	0.04
1.19	0.04
1.19	-0.17
1.19	-0.46
1.196	-0.13
1.216	-0.74
1.22	0.36
1.22	-0.48
1.23	-0.094
1.24	0.19
1.25	-0.323
1.26	0.14
1.267	0.22
1.27	-0.71
1.29	-0.11
1.29	-0.11
1.3	0.15
1.32	0.43
1.322	-0.12
1.33	-0.14
1.33	-0.14
1.35	-0.32
1.35	-0.32
1.35	-0.32
1.354	-0.32
1.358	-0.46
1.369	0.04
1.376	-0.24
1.376	-0.24
1.38	0
1.384	-0.33
1.384	-0.33
1.39	-0.18
1.41	-0.3
1.41	-0.3
1.41	-0.3
1.415	0.13
1.426	-0.37
1.44	0.23
1.44	0.23
1.44	0.23
1.44	0.23
1.44	-0.13
1.445	0.03
1.452	0.14
1.47	-0.08
1.47	-0.27
1.48	0.1
1.48	0.1
1.48	0.1
1.48	-0.29
1.48	-0.32
1.5	0.36
1.5	0.08
1.504	0.2
1.506	-0.3
1.506	-0.3
1.509	0.09
1.51	-0.16
1.51	-0.16
1.513	-0.22
1.513	-0.49
1.517	-0.24
1.52	0.3
1.52	-0.07
1.52	-0.27
1.53	0.15
1.558	0.05
1.558	0.05
1.558	0.05
1.558	0.05
1.56	0.09
1.56	0.09
1.56	-0.09
1.56	-0.09
1.56	-0.09
1.57	-0.28
1.57	-0.89
1.6	-0.38
1.63	-0.25
1.63	-0.25
1.63	-0.25
1.634	-0.02
1.682	-0.26
1.75	0.1
1.78	-0.26
1.78	-0.26
1.78	-0.26
1.8	-0.27
1.8	-0.27
1.815	0.26
1.879	0.15
2	-0.13
2.675	-0.18
3.145	0.02
