   0.00000000       0.00000000       3.65262240E-04   0.00000000    
   2.30946881E-03   1.23178898E-08   4.58299706E-04   3.90799995E-14
   4.61893762E-03   9.85431186E-08   5.70297940E-04   1.08700002E-13
   6.92840666E-03   3.32583056E-07   7.01124372E-04   1.89000007E-13
   9.23787523E-03   7.88344948E-07   8.50646815E-04   3.41300013E-13
   1.15473438E-02   1.53973610E-06   1.01873372E-03   5.69999993E-13
   1.38568133E-02   2.66066445E-06   1.20525446E-03   8.57499998E-13
   1.61662810E-02   4.22503535E-06   1.41007861E-03   8.83400015E-13
   1.84757505E-02   6.30675959E-06   1.63307658E-03   8.99100022E-13
   2.07852200E-02   8.97974223E-06   1.87411916E-03   9.32300027E-13
   2.30946876E-02   1.23178888E-05   2.13307771E-03   9.93199988E-13
   2.54041571E-02   1.63951117E-05   2.40982533E-03   1.10700002E-12
   2.77136266E-02   2.12853156E-05   2.70423340E-03   1.31799996E-12
   3.00230943E-02   2.70624023E-05   3.01617640E-03   1.71100005E-12
   3.23325619E-02   3.38002828E-05   3.34552792E-03   2.44400008E-12
   3.46420333E-02   4.15728828E-05   3.69216176E-03   3.81200019E-12
   3.69515009E-02   5.04540767E-05   4.05595452E-03   6.36699981E-12
   3.92609686E-02   6.05177847E-05   4.43678023E-03   1.11400004E-11
   4.15704399E-02   7.18379379E-05   4.83451644E-03   2.00399992E-11
   4.38799076E-02   8.44884053E-05   5.24903880E-03   3.65300012E-11
   4.61893752E-02   9.85431107E-05   5.68022579E-03   6.64900010E-11
   4.84988466E-02   1.14075985E-04   6.12795493E-03   1.18699994E-10
   5.08083142E-02   1.31160894E-04   6.59210561E-03   2.04399997E-10
   5.31177819E-02   1.49871761E-04   7.07255490E-03   3.36800005E-10
   5.54272532E-02   1.70282525E-04   7.56918453E-03   5.31300004E-10
   5.77367209E-02   1.92467036E-04   8.08187481E-03   8.06300027E-10
   6.00461885E-02   2.16499218E-04   8.61050375E-03   1.18300003E-09
   6.23556599E-02   2.42453039E-04   9.15495772E-03   1.68699998E-09
   6.46651238E-02   2.70402263E-04   9.71511472E-03   2.34600006E-09
   6.69745952E-02   3.00421001E-04   1.02908583E-02   3.19300009E-09
   6.92840666E-02   3.32583062E-04   1.08820712E-02   4.26200009E-09
   7.15935305E-02   3.66962195E-04   1.14886388E-02   5.59500002E-09
   7.39030018E-02   4.03632614E-04   1.21104429E-02   7.23500015E-09
   7.62124732E-02   4.42668039E-04   1.27473688E-02   9.23200005E-09
   7.85219371E-02   4.84142278E-04   1.33993030E-02   1.16400001E-08
   8.08314085E-02   5.28129516E-04   1.40661299E-02   1.45100003E-08
   8.31408799E-02   5.74703503E-04   1.47477388E-02   1.79100006E-08
   8.54503438E-02   6.23937987E-04   1.54440114E-02   2.19099991E-08
   8.77598152E-02   6.75907242E-04   1.61548406E-02   2.65800004E-08
   9.00692865E-02   7.30684958E-04   1.68801099E-02   3.19999991E-08
   9.23787504E-02   7.88344885E-04   1.76197104E-02   3.82600014E-08
   9.46882218E-02   8.48961296E-04   1.83735304E-02   4.54299993E-08
   9.69976932E-02   9.12607880E-04   1.91414598E-02   5.36300000E-08
   9.93071571E-02   9.79358447E-04   1.99233908E-02   6.29500008E-08
  0.101616628       1.04928715E-03   2.07192078E-02   7.34899999E-08
  0.103926100       1.12246780E-03   2.15288065E-02   8.53800017E-08
  0.106235564       1.19897409E-03   2.23520808E-02   9.87299984E-08
  0.108545035       1.27888029E-03   2.31889207E-02   1.13699997E-07
  0.110854506       1.36226020E-03   2.40392163E-02   1.30299995E-07
  0.113163970       1.44918729E-03   2.49028653E-02   1.48900000E-07
  0.115473442       1.53973629E-03   2.57797558E-02   1.69399996E-07
  0.117782913       1.63398054E-03   2.66697891E-02   1.92200005E-07
  0.120092377       1.73199375E-03   2.75728516E-02   2.17199997E-07
  0.122401848       1.83385052E-03   2.84888446E-02   2.44799992E-07
  0.124711320       1.93962432E-03   2.94176638E-02   2.74999991E-07
  0.127020791       2.04938930E-03   3.03592030E-02   3.08099999E-07
  0.129330248       2.16321810E-03   3.13133597E-02   3.44299991E-07
  0.131639719       2.28118664E-03   3.22800316E-02   3.83800000E-07
  0.133949190       2.40336801E-03   3.32591161E-02   4.26700012E-07
  0.136258662       2.52983579E-03   3.42505164E-02   4.73299991E-07
  0.138568133       2.66066450E-03   3.52541246E-02   5.23899985E-07
  0.140877604       2.79592723E-03   3.62698436E-02   5.78600009E-07
  0.143187061       2.93569756E-03   3.72975618E-02   6.37799985E-07
  0.145496532       3.08005116E-03   3.83371972E-02   7.01600015E-07
  0.147806004       3.22906091E-03   3.93886454E-02   7.70300005E-07
  0.150115475       3.38280061E-03   4.04518023E-02   8.44300018E-07
  0.152424946       3.54134431E-03   4.15265709E-02   9.23699986E-07
  0.154734418       3.70476604E-03   4.26128544E-02   1.00900002E-06
  0.157043874       3.87313822E-03   4.37105559E-02   1.09999996E-06
  0.159353346       4.04653745E-03   4.48195785E-02   1.19799995E-06
  0.161662817       4.22503613E-03   4.59398292E-02   1.30299998E-06
  0.163972288       4.40870831E-03   4.70712036E-02   1.41400005E-06
  0.166281760       4.59762802E-03   4.82136086E-02   1.53300005E-06
  0.168591231       4.79186932E-03   4.93669622E-02   1.65999995E-06
  0.170900688       4.99150390E-03   5.05311489E-02   1.79500000E-06
  0.173210159       5.19660953E-03   5.17060831E-02   1.93799997E-06
  0.175519630       5.40725794E-03   5.28916828E-02   2.08999995E-06
  0.177829102       5.62352315E-03   5.40878437E-02   2.25200006E-06
