                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     1.00000 solar
                                             L    =     0.85900 solar
                                             R    =     1.05991 solar
                                             Teff =  5402.00000 K
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
  415  1.401E+08  1.356E-01  7.356E-01  2.913E+26  9.781E+06  5.254E+15  4.011E+04  2.423E-01  1.545E-04  r  3.3
  416  1.327E+08  1.356E-01  7.679E-01  2.801E+26  1.012E+07  5.862E+15  4.327E+04  2.320E-01  1.949E-04  r  3.3
  417  1.253E+08  1.356E-01  7.988E-01  2.667E+26  1.045E+07  6.504E+15  4.646E+04  2.221E-01  2.433E-04  r  3.2
  418  1.179E+08  1.356E-01  8.280E-01  2.510E+26  1.079E+07  7.175E+15  4.966E+04  2.126E-01  3.004E-04  r  3.1
  419  1.106E+08  1.356E-01  8.552E-01  2.330E+26  1.112E+07  7.868E+15  5.283E+04  2.036E-01  3.669E-04  r  3.0
  420  1.032E+08  1.356E-01  8.803E-01  2.129E+26  1.145E+07  8.577E+15  5.593E+04  1.951E-01  4.430E-04  r  3.0
  421  9.583E+07  1.356E-01  9.030E-01  1.910E+26  1.177E+07  9.291E+15  5.893E+04  1.870E-01  5.287E-04  r  2.9
  422  8.846E+07  1.356E-01  9.232E-01  1.679E+26  1.209E+07  1.000E+16  6.178E+04  1.795E-01  6.238E-04  r  2.8
  423  8.109E+07  1.356E-01  9.408E-01  1.443E+26  1.239E+07  1.070E+16  6.446E+04  1.724E-01  7.274E-04  r  2.7
  424  7.372E+07  1.356E-01  9.558E-01  1.210E+26  1.269E+07  1.137E+16  6.692E+04  1.657E-01  8.385E-04  r  2.6
  425  6.635E+07  1.356E-01  9.683E-01  9.888E+25  1.297E+07  1.201E+16  6.913E+04  1.596E-01  9.555E-04  c  2.5
  426  5.897E+07  1.356E-01  9.783E-01  7.877E+25  1.323E+07  1.260E+16  7.104E+04  1.535E-01  1.078E-03  c  2.3
  427  5.160E+07  1.356E-01  9.860E-01  6.144E+25  1.347E+07  1.314E+16  7.269E+04  1.481E-01  1.202E-03  c  2.1
  428  4.423E+07  1.356E-01  9.916E-01  4.743E+25  1.369E+07  1.362E+16  7.400E+04  1.428E-01  1.328E-03  c  1.8
  429  3.686E+07  1.356E-01  9.955E-01  3.699E+25  1.390E+07  1.404E+16  7.492E+04  1.373E-01  1.459E-03  c  1.4
  430  2.949E+07  1.356E-01  9.978E-01  3.003E+25  1.412E+07  1.439E+16  7.531E+04  1.307E-01  1.608E-03  c  1.0
  431  2.212E+07  1.356E-01  9.991E-01  2.612E+25  1.439E+07  1.471E+16  7.480E+04  1.209E-01  1.830E-03  c  0.6
  432  1.474E+07  1.356E-01  9.995E-01  2.450E+25  1.494E+07  1.514E+16  7.202E+04  1.007E-01  2.451E-03  c  0.3
  433  0.000E+00  1.118E+11  9.995E-01  2.450E+25  1.542E+07  1.531E+16  7.405E+04  1.068E-01  2.465E-02  c  0.3
