pl_pnum	pl_orbper	pl_orbsmax	pl_orbeccen	pl_orbincl	pl_bmassj	st_metfe
1	2.4238039	0.03473	0	86.02	0.889	
1	2.1746742	0.0348	0	83.75	0.805	0
1	2.849258	0.03486				
1	2.1375	0.035	0.008		1.5	0.257
3	2.53726	0.035				
2	2.422082	0.035				-0.083
3	3.306539	0.035				0.221
5	2.580827	0.035				0.077
2	2.461069	0.035				0.157
3	2.15491	0.035				0.17
1	2.6843285	0.03585	0.019	87.828	0.595	-0.1
1	2.245715	0.036	0		0.45	0.18
2	2.403679	0.036				-0.081
2	2.735926	0.036				-0.01
2	2.46236	0.036				-0.051
2	2.633867	0.036				-0.063
3	2.508553	0.036				-0.178
2	3.173315	0.036				-0.329
1	2.243752	0.036	0.091	84.32	7.341	
1	2.875317	0.0361	0.015	86.8	7.246	0.35
1	2.516729	0.0362	0.013	88.5	1.323	0.43
1	2.17517632	0.0362	0	83.2	0.89	
1	3.3252725	0.03623	0	88.21	0.319	0.2
1	2.49979	0.0363	0.058	85	1.23	0.14
1	1.763588	0.03641	0.00064	86.77	9.28	0.2
2	4.7234	0.036467	0.17		0.00371	0.09
1	2.0219596	0.0365		79.9	8	0.1
1	2.34121242	0.03651	0	83.64	1.071	
1	2.47061317	0.0367		83.872	1.197	-0.15
1	2.61585922	0.03673	0.006		0.597	0.43
1	2.2047372	0.03676	0.0016	82.2	1.682	0.15
1	2.818049	0.0368	0		0.398	0.06
1	2.7535953	0.03694	0.047	87.02	0.818	0.28
1	2.54858	0.037	0.029		1.87	0.29
4	5.57739	0.037				
4	2.795906	0.037				-0.413
4	3.340222	0.037				0.087
3	3.353728	0.037				0.028
2	2.936532	0.037				-0.478
1	2.13775	0.037	0	79.81	0.95	0.39
1	2.798581	0.037	0	86.8	1.34	0.19
1	2.2167421	0.03708	0	81.6	1.5461	-0.06
7	9.20669	0.0371	0.063	89.68	0.00214	0.04
5	3.07222	0.0372		88.35	0.02124	0.04
1	2.5495551	0.03727	0.08	87.62	1.192	0.29
1	3.1606296	0.03734		88.06	2.31	-0.03
1	2.686502	0.03744	0	83.53	3.27	-0.1
1	2.484193	0.0375	0	82	1.07	0.07
3	4.8869	0.0375	0.15		0.00601	-0.09
1	2.9444256	0.0376	0.062	88.39	0.884	
1	2.96264036	0.03762		86.38	0.922	-0.49
1	2.83891856	0.03769		86.05	0.644	-0.25
1	3.0927616	0.03781		88.49	3.15	
1	2.5079204	0.03783	0	86.8	4.31	-0.041
1	3.47114	0.03784				
1	2.797436	0.0379	0.058	86.9	1.169	
1	2.1974	0.0379	0.07		1.21	0.15
1	2.7817387	0.0379	0	84.89	0.378	
4	3.132924	0.038				-0.309
3	2.566546	0.038				-0.067
3	2.971353	0.038				-0.161
2	3.00516	0.038	0	88.27		0.23
1	2.7667641	0.03815	0.142	88.83	1.071	0.33
1	3.2130598	0.0384	0	89	0.211	-0.29
1	2.85057	0.0386	0.082	87.3	0.85	0.2
1	2.899736	0.03866	0	87.07	0.591	0.27
6	3.092926	0.03876	0	85.05	0.01491	0.11
1	2.5199454	0.03889	0	90	0.854	
1	4.6938	0.039	0.2		0.035	-0.28
1	3.38773	0.039	0		0.62	0.08
2	3.177422	0.039				-0.38
3	3.410493	0.039				-0.535
2	3.107675	0.039				0.538
4	3.543919	0.039				-0.13
4	3.295709	0.039				0.523
1	2.6556777	0.039	0	89.69	1.265	
1	2.7164762	0.03908	0.066	88.69	0.729	-0.36
1	2.57302	0.0392				
1	3.030065	0.03925		90	0.752	0.02
1	2.718659	0.0394	0.018	85.3	3.6	
1	2.6054552	0.03951	0.304	84.2	0.527	0.1
1	3.023573	0.0398	0.063		0.226	0.24
1	2.7566004	0.03985	0	82.91	1.028	
1	3.039577	0.04	0	85	0.62	0.29
5	3.250619	0.04				0.238
4	2.940309	0.04				0.012
2	3.137873	0.04				-0.162
2	2.711506	0.04				0.075
4	2.927128	0.04				-0.052
