pl_discmethod	pl_pnum	st_metfe	pl_orbper	pl_orbeccen	pl_orbincl	pl_bmassj	pl_bmassprov	pl_radj	pl_dens	st_teff	st_mass	st_rad	st_logg	st_lum	st_dens	st_metfe
Transit	1	-0.15	41.6855	0	89.55	0.05129	Mass	0.199	7.89	5766	0.96	0.93	4.5	-0.056	1.7	-0.15
Transit	1	-0.3	1.5089557	0	85.1	1.03	Mass	1.49	0.38	5950	0.95	1.11	4.25			-0.3
Transit	1	0.26	13.2406	0.53	88.55	2.75	Mass	0.97	3.7	5075	0.89	0.79	4.65		3.32	0.26
Transit	1	-0.03	2.99433	0	83.17	2.33	Mass	1.43	0.99	6440	1.27	1.37	4.22		0.69	-0.03
Transit	1	0.16	2.828042	0.07	85.48	0.917	Mass	1.44	0.411	5675	1.08	1.12	4.38		1.08	0.16
Transit	1	0.01	4.03519	0	88.02	1.308	Mass	0.885	2.34	5945	1.09	1.01	4.46		1.468	0.01
Transit	1	0.05	1.51214	0	79.6	7.6	Mass	1.09	7.3	6035	1.13	1.21	4.35		0.91	0.05
Transit	1	0.19	5.35227	0.33	85.01	0.535	Mass	1.17	0.44	5650	1.1	1.19	4.36		0.93	0.19
Transit	1	0	3.7681	0	88.34	2.43	Mass	1.02	2.82	5740	1.04	1.59	4.4		0.32	0
Transit	1	-0.1	1.9000693	0.08	86.5	3.47	Mass	1.31	2.2	5440	0.95	1	4.4		1.35	-0.1
Transit	1	-0.02	3.89713	0.047	88	1.11	Mass	1.29	0.71	6090	1.21	1.65	4.07	0.544	0.38	-0.02
Transit	1	0.14	9.24285	0.562	88.21	4.24	Mass	0.84	8.87	5880	1.14	1.02	4.2		1.51	0.14
Transit	1	0.17	9.75598	0.077	89.749	0.038	Mass	0.435	0.249	5939	1.1	1.14	4.36		1.027	0.17
Transit	1	0.05	3.6313	0.16	85.7	2.8	Mass	1.05	3	5900	1.14	1.61	4.3		0.5	0.05
Transit	1	-0.01	4.86069	0	84.5	0.27	Mass	1.08	0.15	6040	1.09	1.19	4.31			-0.01
Transit	1	0.01	4.20474	0	86.8	0.52	Mass	1.26	0.28	5590	1.09	1.79	3.99			0.01
Transit	1	-0.1	3.57532	0.065	86.7	10.39	Mass	1.007	12.6	5900	1.05	1.08	4.4		1.24	-0.1
Transit	1	0.15	5.20851	0.047	88.1	0.484	Mass	0.955	0.69	5150	1.01	1.78	3.6		0.27	0.15
Transit	1	0.2	2.85057	0.082	87.3	0.85	Mass	0.9	1.45	5260	0.97	0.9	4.3		1.825	0.2
Transit	1	-0.25	4.0378962	0.09	85.83	0.467	Mass	1.388	0.217	6100	1	1.19	4.19			-0.25
Transit	1	-0.2	8.886593	0.1	89.07	2.96	Mass	1.166	2.32	6090	1.05	1.02	4.43			-0.2
Transit	1	0.3	6.21229	0	88.4	0.22	Mass	0.57	1.6	5080	0.88	0.77	4.58		2.7	0.3
Transit	1	-0.01	95.2738	0.11	89.99	0.84	Mass	1.05	0.9	5625	0.99	0.94	4.54		1.68	-0.01
Transit	1	0	6.71837		89	0.15	Mass	0.57	1.1	5970	1.08	0.79	4.67	-0.155		0
Transit	1	0.14	21.169619	0.18	89.5			0.196		3880	0.61	0.59		-1.153	4.2	0.14
Transit	1	0	1.58040456		88.17	0.0197	Mass	0.254	1.49	3170	0.16	0.18	5.12		38.4	0
Transit	1	0.13	4.46529976		85.634	0.525	Mass	1.319	0.282	5980	1.15	1.17	4.36		0.908	0.13
Transit	1	0.31	4.8878162	0.198	88.5	0.081	Mass	0.422	1.33	4780	0.81	0.75	4.59	-0.585		0.31
Transit	1	-0.29	3.2130598	0	89	0.211	Mass	0.959	0.3192	4650	0.73	0.7	4.61	-0.678		-0.29
Transit	1	0.11	4.627669	0.107	83.5	2.232	Mass	1.15	1.82	6600	1.39	1.47	4.25	0.563		0.11
Transit	1	0.22	10.863502	0.19	89.1	1.946	Mass	1.072	1.96	5568	1.01	1.08	4.38	0		0.22
Transit	1	0.17	2.77596	0.036	86.6	4.193	Mass	1.289	2.42	6158	1.22	1.24	4.34	0.294		0.17
Transit	1	0.1	5.508023	0.084	88.8	0.197	Mass	0.995	0.25	4803	0.77	0.75	4.57	-0.569		0.1
Transit	1	0.23	4.008778	0.067	88.2	0.292	Mass	1.132	0.25	4990	0.84	0.82	4.54	-0.432		0.23
Transit	1	0.14	5.6334729	0.5171	86.72	9.09	Mass	1.157	7.29	6290	1.36	1.64	4.16	0.577		0.14
Transit	1	0.35	2.875317	0.015	86.8	7.246	Mass	0.867	13.78	4595	0.76	0.69	4.63	-0.721		0.35
Transit	1	0.01	4.124481	0.228	87.2	4.063	Mass	1.024	4.68	5588	0.95	1.1	4.33	0.025		0.01
Transit	1	0.24	3.21222	0.016	86.9	2.147	Mass	1.08	2.11	5302	0.92	1.04	4.36	-0.114		0.24
Transit	1	0.13	1.21288287	0	85.74	2.07	Mass	1.224	1.406	5885	1.1	1.09	4.41		1.204	0.13
Transit	1	-0.16	3.35524	0.067	88.6	0.685	Mass	1.242	0.44	6373	1.19	1.32	4.27	0.408		-0.16
Transit	1	0.31	3.652836	0.032	87.6	0.567	Mass	1.19	0.42	5500	1.01	0.96	4.48	-0.125		0.31
Transit	1	-0.04	4.234516	0.124	88.6	0.059	Mass	0.565	0.4	5079	0.82	0.79	4.56	-0.42		-0.04
Transit	1	0.29	3.039577	0	85	0.62	Mass	1.02		5300	0.94	0.9	4.51	-0.244		0.29
Transit	1	0.12	3.257215	0.051	88	0.626	Mass	1.212	0.44	5680	1.02	1.1	4.36	0.053		0.12
Transit	1	0.21	5.723186	0.095	87.1	0.778	Mass	1.107	0.71	6087	1.21	1.22	4.34	0.265		0.21
Transit	1	0.27	2.899736	0	87.07	0.591	Mass	0.827	1.29	5185	0.92	0.8	4.59	-0.362	2.53	0.27
Transit	1	0.13	2.810595	0.035	83.6	0.711	Mass	1.34	0.37	6304	1.24	1.22	4.36	0.312		0.13
Transit	1	-0.04	2.15000805	0.0072	88.9			1.789		6269		1.22				-0.04
Transit	1	0.27	4.641878	0	85.9	1.044	Mass	1.28	0.61	5743	1.18	1.53	4.14	0.356		0.27
Transit	1	0.23	3.332687	0	88.7	0.662	Mass	1.281	0.39	5645	1.05	1.1	4.37	0.045		0.23
Transit	1	0.07	3.128992	0.049	87.8	0.892	Mass	1.426	0.38	6330	1.26	1.32	4.3	0.4		0.07
Transit	1	0.3	4.463129	0.123	85.5	0.493	Mass	1.284	0.28	6120	1.28	1.4	4.25	0.391		0.3
Transit	1	0.074	2.691548	0	86.2	1.73	Mass	1.413	0.75	6820	1.54	1.83	4.1	0.814		0.074
Transit	1	0.24	2.788491	0	86.75	1.06	Mass	1.26	0.66	5960	1.16	1.17	4.37	0.187		0.24
Transit	1	-0.18	3.1220109	0.115	83.65	1.35	Mass	1.288	0.78	6280	1.27	1.7	4.07	0.603	0.357	-0.18
Transit	1	0.27	4.2180278	0.123	88.48	0.309	Mass	1.293	0.178	5449	0.98	1.04	4.39	-0.066	1.223	0.27
Transit	1	0.28	2.7535953	0.047	87.02	0.818	Mass	1.009	0.98	5131	0.89	0.89	4.48	-0.305	1.75	0.28
Transit	1	0	1.9616241	0.134	86.2	1.484	Mass	1.318	0.8	5956	1.09	1.21	4.31	0.217	0.87	0
Transit	1	-0.127	3.799847	0.074	87.04	0.76	Mass	0.944	1.118	4390	0.65	0.62	4.67	-0.902		-0.127
Transit	1	-0.03	3.5852467	0.139	87.7	0.582	Mass	1.182	0.435	5808	1.01	1.01	4.43			-0.03
Transit	1	-0.077	2.7908327	0.246	82.13	2.18	Mass	1.466	0.86	6566	1.3	1.43	4.24		0.627	-0.077
Transit	1	-0.25	2.465295	0	88.26	1.85	Mass	1.413		7500	1.47	1.5	4.25	0.806	0.615	-0.25
Transit	1	-0.13	3.852985	0	85.51	1.057	Mass	1.33	0.558	6570	1.29	1.46	4.22	0.553		-0.13
Transit	1	0.1	2.6054552	0.304	84.2	0.527	Mass	1.89	0.096	5835	1.21	1.86	3.98	0.555	0.266	0.1
Transit	1	0.035	2.972086	0.09	86.2	0.783	Mass	1.59	0.242	6002	1.25	1.88	3.99	0.615	0.269	0.035
Transit	1	-0.08	4.8101025	0	88.8	0.34	Mass	2.085	0.052	6406	1.64	2.55	3.85	0.939		-0.08
Transit	1	0.15	2.2047372	0.0016	82.2	1.682	Mass	1.491	0.629	6441	1.47	1.84	4.02			0.15
Transit	1	0.15	3.312846	0.501	87.79	0.526	Mass	0.969	0.7	5880	1.1	1.1	4.39	0.117	1.15	0.15
Transit	1	-0.39	3.6191613	0.34	88.31	0.85	Mass	1.51	0.299	6060	1	1.44	4.12	0.403	0.471	-0.39
Transit	1	-0.1	3.142833	0.085	82.7	2.38	Mass	1.35	1.19	6408	1.49	2.21	3.92	0.863	0.196	-0.1
Transit	1	0.05	3.0440499	0.181	88.55	0.543	Mass	1.212	0.377	5523	0.96	0.89	4.52		1.93	0.05
Transit	1	0.33	2.7667641	0.142	88.83	1.071	Mass	1.039	1.191	5346	0.97	0.93	4.48		1.682	0.33
Transit	1	0	1.74748753	0.126	87.13	2.17	Mass	1.105	1.97	5311	0.87	0.92	4.45	-0.204	1.57	0
Transit	1	-0.1	2.686502	0	83.53	3.27	Mass	1.3	1.86	5738	0.97	1.24	4.24	0.173	0.72	-0.1
Transit	1	0.3	16.254611	0.029	89.08	1.338	Mass	0.777	3.5	5846	1.13	1.09	4.42	0.093	1.22	0.3
Transit	1	0.28	0.8378434	0.166	85.5	1.98	Mass	1.337	1.02	5600	1.04	1.02	4.44	-0.032	1.37	0.28
Transit	1	0.15	1.354133	0	87.2	1.345	Mass	1.168	1.05	5227	0.88	0.9	4.48	-0.268		0.15
Transit	1	0	4.7228124	0.079	87.96	2.74	Mass	0.953	3.89	4803	0.76	0.69	4.64	-0.646	3.28	0
Transit	1	0.28	2.1605156	0.114	81.02	1.47	Mass	1.86	0.29	5780	1.12	1.2	4.33	0.155	0.91	0.28
Transit	1	0	1.3484954	0.242	86.6	2.44	Mass	1.487	0.92	6346	1.21	1.17	4.38	0.292	1.059	0
Transit	1	0.02	4.2986432	0.176	86.93	0.613	Mass	1.26	0.38	5715	0.99	1.11	4.35	0.068	1.03	0.02
Transit	1	-0.02	3.3023881	0.245	86.2	0.65	Mass	1.75	0.153	6071	1.3	2.04	3.94	0.704	0.218	-0.02
Transit	1	0.09	4.637038	0.581	87.3	0.53	Mass	1.5	0.18	6438	1.42	1.74	4.11	0.669	0.379	0.09
Transit	1	0.01	3.1810781	0.202	86.17	0.672	Mass	1.194	0.48	5498	0.93	0.92	4.48	-0.157	1.67	0.01
Transit	1	0.16	4.6058749	0.158	87.37	0.653	Mass	1.251	0.411	5670	1.03	1.07	4.39	0.029	1.17	0.16
Transit	1	-0.157	3.547851	0	86.2	1.071	Mass	1.381	0.51	6351	1.21	1.4	4.22	0.456		-0.157
Transit	1	0.06	3.1743516	0.096	86.84	0.706	Mass	1.175	0.543	5943	1.09	1.06	4.42	0.097	1.29	0.06
Transit	1	0	3.37796	0.233	85	0.88	Mass	1.64	0.243	6050	1.27	1.87	4	0.619	0.275	0
Transit	1	0.39	2.8126548	0.471	87.1	0.92	Mass	1.249	0.58	5700	1.1	1.1	4.4	0.057	1.17	0.39
Transit	1	0.29	2.5495551	0.08	87.62	1.192	Mass	1.23	0.79	5659	1.06	1.02	4.45	-0.018	1.4	0.29
Transit	1	0.25	2.1061607	0.108	82.28	0.941	Mass	1.43	0.4	5380	0.95	0.98	4.43	-0.14	1.44	0.25
Transit	1	0.21	1.8209993	0.306	86.9	1.222	Mass	1.464	0.484	6300	1.32	1.43	4.24	0.465	0.628	0.21
Transit	1	0.43	2.516729	0.013	88.5	1.323	Mass	1.02	1.55	5403	1	0.93	4.51	-0.187		0.43
Transit	1	0.19	4.763387	0.019	89.3	0.237	Mass	0.912	0.39	5304	0.94	0.87	4.53	-0.268		0.19
Transit	1	0.2	3.3252725	0	88.21	0.319	Mass	0.998	0.399	3724	0.57	0.57	4.68		4.36	0.2
Transit	1	0.21	3.583893	0.376	87.8	0.138	Mass	0.873	0.259	5679	1.06	1.09	4.39		1.15	0.21
Transit	1	0.34	1.9153073	0.129	86.5	0.837	Mass	1.065	0.85	5366	1.03	1.5	4.09	0.23	0.427	0.34
Transit	1	-0.07	19.3044	0.31		0.08495	Mass	0.343	2.6	5620	0.92	0.98	4.5		1.38	-0.07
Transit	1	0.14	1.673916	0.24	85.1			0.312		6120	1.18	1.19		0.25	1	0.14
Transit	1	0.14	14.677286	0.1	89.4			0.178		4819	0.8	0.73		-0.595	2.92	0.14
Transit	1	0.14	9.915615	0.1	89			0.116		4695	0.77	0.71		-0.657	3.03	0.14
Transit	1	0.14	1.97419	0.18	88			0.17		3660	0.51	0.48		-1.434	6.45	0.14
Transit	1	0.26	8.266902		88.95	0.09439	Mass	0.369		5434	1.01	0.95	4.48		1.68	0.26
Transit	1	0.1	3.31392	0	81.9	0.84	Mass	1.44	0.35	6030	1.3	1.78	4.07		0.33	0.1
Transit	1	0.33	4.73401	0.18		0.18689	Mass	0.471	2.22	5474	1.12	1.75	3.99			0.33
Transit	1	-0.12	39.93767					0.674		5433	1.35	5.15				-0.12
Transit	1	-0.34	13.86375	0.079	89.35	0.05254	Mass	0.231	5.2	5010	0.74	0.71	4.6			-0.34
Transit	1	-0.53	5.35117	0	86.2	0.02706	Mass	0.17	6.6	5730	0.88	1.23	4.15	0.279	0.51	-0.53
Transit	1	0.18	5.817608	0	86.21	1.29	Mass	0.93	1.97	5627	1.01	1.05	4.4	0.009	1.23	0.18
Transit	1	0.41	11.39109	0	89.53	1.85	Mass	0.942	2.99	5027	0.83	0.83	4.48		1.84	0.41
Transit	1	-0.22	20.273034	0.137	88.82	0.84	Mass	1.115	0.82	5560	0.83	0.88	4.46		1.43	-0.22
Transit	1	0.03	8.28212					0.208		5800	1.01	1.01				0.03
Transit	1	-0.54	39.91488					0.169		5698	0.8	0.78				-0.54
Transit	1	0	0.3693038	0	85	0.02045	Mass	0.161	6	5200	0.84	0.81	4.62		2.23	0
Transit	1	-0.01	9.1751			0.49	Mass	1.3		4840	1.08	3.85	3.3		0.0264	-0.01
Transit	1	-0.37	8.36802					0.429		3789	0.47	0.45				-0.37
Transit	1	-0.46	11.8104					0.221		5131	0.72	0.68				-0.46
Transit	1	0.15	17.96753					0.199		4320	0.71	0.66				0.15
Transit	1	0.09	32.94488					0.2		3503	0.41	0.39				0.09
Transit	1	0.03	0.381078			1.4	Mass	0.223		3830	0.6	0.57	4.65			0.03
Transit	1	0.15	3.484552	0.27	88.3			0.306		3180	0.29	0.29		-2.076	15.9	0.15
Transit	1	-0.13	14.5665		88.4			0.238		3785	0.56	0.52		-1.31	3.92	-0.13
Transit	1	0.13	6.771315	0.251		0.09722	Mass	0.4	1.87	5248	0.87	0.89	4.48			0.13
Transit	1	0.26	2.260455	0	88.9			0.207		3214	0.26	0.29	4.93		15.2	0.26
Transit	1	0.16	3.2588321	0.066	86.656	0.73	Mass	1.19	0.53	5358	0.94	0.86	4.54			0.16
Transit	1	-0.15	4.098503	0	86.92	0.579	Mass	1.039	0.64	5425	0.9	0.84	4.54	-0.256	2.11	-0.15
Transit	1	0.08	1.25785	0	79.9	1.774	Mass	1.06		5280	0.91	0.78	4.6			0.08
Transit	1	0.24	2.995607	0	82.06	1.76	Mass	1.35	0.94	6132	1.28	1.53	4.17	0.471	0.502	0.24
Transit	1	0.43	4.60497	0.152		0.12522	Mass	0.509	1.17	4912	1.19	2.93	3.58			0.43
Transit	1	-0.12	10.00329					0.211		4197	0.63	0.6				-0.12
Transit	1	-0.14	30.94191					0.223		5850	0.97	0.96				-0.14
Transit	1	0.01	3.00265	0	88.49	0.426	Mass	0.683	1.7	5500	0.97	1.12	4.07		0.99	0.01
Transit	1	-0.07	28.67992					0.238		5772	0.97	0.96				-0.07
Transit	1	0.29	8.199796	0.14	88.7	1.9	Mass	0.205		4970	0.8	0.76	4.47	-0.5	2.5	0.29
Transit	1	-0.25	18.4498		87.983			0.201		3390	0.3	0.31		-1.921	9.88	-0.25
Transit	1	0.11	10.13389		88.77	0.03458	Mass	0.31		3471	0.36	0.4		-1.678	7.81	0.11
Transit	1	0.42	8.4061			1.1	Mass	1.31	0.02	4790	1.16	4.2	3.26		0.0222	0.42
Transit	1	-0.2	10.13675	0	89	0.10131	Mass	0.384	2.15	6120	1.07	1.31	4.23		0.66	-0.2
Transit	1	0.2	18.249	0.19	87.7	0.97	Mass	1.29		5990	1.6	3.1	3.67		0.078	0.2
Transit	1	0.09	4.1662739		88.61	0.679	Mass	1.399	0.308	5948	1.11	1.21	4.32	0.217	0.889	0.09
Transit	1	0.18	4.736529	0	85.8	0.195	Mass	1.37	0.093	5370	1.44	2.72	3.73	0.744	0.101	0.18
Transit	1	0.19	5.031623	0	84.47	0.95	Mass	1.78	0.209	6279	1.59	2.37	3.89	0.892	0.168	0.19
Transit	1	0.32	1.7100566	0	78.3	1.284	Mass	1.743	0.322	5720	1.24	1.52	4.17		0.495	0.32
Transit	1	0.047	3.329441	0	88.3	0.91	Mass	1.443	0.36	6003	1.18	1.48	4.17	0.412	0.514	0.047
Transit	1	-0.002	0.9689951	0	84.4	2.75	Mass	1.415	1.2	6236	1.21	1.36	4.25	0.401	0.679	-0.002
Transit	1	-0.018	3.0801716		84.87	1.31	Mass	1.525	0.46	7454	1.64	1.65	4.22	0.876	0.518	-0.018
Transit	1	0.09	2.8717518	0	88.86	1.18	Mass	1.57	0.377	6670	1.52	1.91	4.06	0.813	0.3111	0.09
Transit	1	-0.29	3.4741085		86.12	3.382	Mass	1.741	0.806	8720	1.76	1.56	4.29	1.104	0.641	-0.29
Transit	1	0.044	2.7033904	0	84.23	1.477	Mass	1.345	0.75	6306	1.28	1.47	4.21	0.489	0.565	0.044
Transit	1	-0.116	2.9895932	0	83.16	0.902	Mass	1.699	0.228	6206	1.2	1.6	4.11	0.535	0.411	-0.116
Transit	1	0.139	2.7347749	0	83.76	1.28	Mass	1.533	0.442	6789	1.53	1.73	4.15	0.758	0.419	0.139
Transit	1	0.272	3.24406	0.035	82.65	0.867	Mass	1.86	0.167	5754	1.21	1.67	4.08		0.369	0.272
Transit	1	-0.03	1.4811235	0	86.79	2.88	Mass	1.891	0.53	10170	2.52	2.36	4.09	1.724	0.2702	-0.03
Transit	1	-0.04	854.083		89.861			0.491		6091	1.01	1.01	4.42			-0.04
Transit	1	-0.42	1322.3		89.973			0.616		6175	0.98	1.01	4.44			-0.42
Transit	1	-0.5	1320.1		89.799			0.589		6258	0.98	1.52	4.08			-0.5
Transit	1	-0.28	572.3847		89.768			0.41		6065	0.98	1.03	4.42			-0.28
Transit	1	0.09	17.8552333	0.72	88.95	10	Mass	1.43		6820	1.45	1.63	4.34		0.472	0.09
Transit	1	0.27	86.647661	0.772	89.66	1.45	Mass	0.94	2.1	5520	0.99	1.13	4.32		0.99	0.27
Transit	1	0.2	1.763588	0.00064	86.77	9.28	Mass	1.512	3.6	7650	1.72	1.74	4.2			0.2
Transit	1	0.22	3.90512	0	89.8			1.11		5545	0.95	0.86	4.54			0.22
Transit	1	0.35	120.0181272					0.425		6453	1.4	1.51	4.23			0.35
Transit	1	-0.03	14.30511983					0.281		5491	0.9	0.88	4.52			-0.03
Transit	1	0.04	4.33642933					0.153		6144	1.22	1.57	4.13			0.04
Transit	1	0.01	3.55485691					0.159		6109	1.11	1.17	4.35			0.01
Transit	1	-0.04	5.28789787					0.56		4972	1.11	3.39	3.43			-0.04
Transit	1	0.02	6.49801525					0.134		5782	1	1.06	4.38			0.02
Transit	1	-0.4	19.76172042					0.137		5328	0.78	0.74	4.59			-0.4
Transit	1	0.03	5.18500207					0.128		4587	0.73	0.7	4.62			0.03
Transit	1	-0.01	12.43931193					0.114		5066	0.81	0.78	4.56			-0.01
Transit	1	-0.12	11.35011917					0.194		4027	0.59	0.57	4.7			-0.12
Transit	1	-0.01	34.2685705					0.207		5253	0.86	0.82	4.55			-0.01
Transit	1	0.08	5.75322197					0.256		5416	0.91	0.88	4.52			0.08
Transit	1	0.05	5.50860439					0.115		5556	0.95	0.91	4.5			0.05
Transit	1	0.04	18.93054959					0.192		4954	0.81	0.76	4.59			0.04
Transit	1	-0.06	16.57110363					0.213		5388	0.88	0.84	4.54			-0.06
Transit	1	0.06	16.00494214					0.317		6769	1.49	1.81	4.09			0.06
Transit	1	0.04	7.23400469					0.178		5473	0.93	0.87	4.53			0.04
Transit	1	-0.05	49.1013514					0.23		5518	0.91	0.88	4.52			-0.05
Transit	1	0.01	1.41122985					0.13		4433	0.7	0.67	4.64			0.01
Transit	1	0	96.9151496					0.203		5227	0.87	0.8	4.57			0
Transit	1	-0.05	13.47469571					0.208		5431	0.89	0.86	4.53			-0.05
Transit	1	0.06	10.99469878					0.211		4445	0.71	0.68	4.64			0.06
Transit	1	0.05	62.1387714					0.235		5494	0.93	0.89	4.51			0.05
Transit	1	-0.1	66.4162133					0.349		5143	0.81	0.78	4.57			-0.1
Transit	1	-0.03	37.3229493					0.177		6089	1.09	1.13	4.37			-0.03
Transit	1	-0.02	36.5156053					0.197		4948	0.79	0.75	4.59			-0.02
Transit	1	-0.06	1.9078052					0.079		5436	0.91	0.82	4.57			-0.06
Transit	1	-0.09	2.51462432					0.119		5522	0.9	0.87	4.52			-0.09
Transit	1	0.01	4.41769648					0.112		5030	0.82	0.77	4.58			0.01
Transit	1	-0.01	19.32952416					0.221		4983	0.8	0.76	4.59			-0.01
Transit	1	0.03	1.22621732					0.078		6011	1.09	1.12	4.38			0.03
Transit	1	0.16	3.29011795					0.167		4647	0.77	0.71	4.62			0.16
Transit	1	0.06	7.56052806					0.224		5547	0.94	0.92	4.49			0.06
Transit	1	-0.06	12.12400943					0.202		5198	0.83	0.8	4.57			-0.06
Transit	1	-0.03	2.71407755					0.104		5763	0.98	0.97	4.45			-0.03
Transit	1	0.04	122.8808058					0.269		5533	0.95	0.89	4.52			0.04
Transit	1	-0.03	1.06378867					0.114		5105	0.82	0.78	4.57			-0.03
Transit	1	-0.04	148.4603382					0.315		5335	0.87	0.83	4.55			-0.04
Transit	1	0.01	0.93488424					0.13		4870	0.79	0.74	4.6			0.01
Transit	1	0.01	201.1214					0.186		5694	0.98	0.96	4.47			0.01
Transit	1	0.01	24.7576421					0.262		5957	1.06	1.08	4.4			0.01
Transit	1	-0.1	10.13202575					0.195		4815	0.75	0.72	4.61			-0.1
Transit	1	-0.11	38.5053398					0.227		5629	0.92	0.9	4.5			-0.11
Transit	1	0.04	6.77408868					0.238		5985	1.08	1.11	4.38			0.04
Transit	1	-0.03	26.41045478					0.24		5301	0.86	0.82	4.55			-0.03
Transit	1	0	14.37508035					0.153		5913	1.04	1.04	4.42			0
Transit	1	0.01	6.92101021					0.144		4651	0.75	0.7	4.62			0.01
Transit	1	-0.33	3.27346074					0.085		3864	0.51	0.49	4.77			-0.33
Transit	1	0.04	25.96200249					0.303		6675	1.43	1.73	4.12			0.04
Transit	1	0	34.8538276					0.261		5888	1.03	1.03	4.42			0
Transit	1	0.1	2.41435165					0.087		4529	0.74	0.69	4.63			0.1
Transit	1	0.09	4.30655689					0.235		6209	1.22	1.34	4.26			0.09
Transit	1	-0.02	2.29503623					0.11		5723	0.98	0.94	4.49			-0.02
Transit	1	0.02	27.495606					0.269		6127	1.12	1.2	4.33			0.02
Transit	1	0.01	14.08827448					0.3		5987	1.07	1.1	4.38			0.01
Transit	1	-0.06	110.96546					0.243		4644	0.73	0.69	4.63			-0.06
Transit	1	-0.15	3.76419105					0.154		4906	0.75	0.72	4.61			-0.15
Transit	1	-0.03	46.8779367					0.212		5797	0.99	0.99	4.44			-0.03
Transit	1	-0.03	2.75798267					0.177		6067	1.09	1.07	4.42			-0.03
Transit	1	0.11	9.30412078					0.157		4597	0.75	0.7	4.62			0.11
Transit	1	0.09	14.07971466					0.133		5945	1.09	1.14	4.37			0.09
Transit	1	0	16.54080322					0.138		5153	0.85	0.79	4.57			0
Transit	1	-0.03	1.93155984					0.211		5762	0.98	0.98	4.45			-0.03
Transit	1	0.03	0.76212926					0.071		5592	0.95	0.93	4.49			0.03
Transit	1	0.03	16.92344113					0.324		5806	1.01	1.01	4.43			0.03
Transit	1	0.04	23.8990296					0.143		5722	0.99	0.98	4.46			0.04
Transit	1	0.03	6.2216147					0.154		6261	1.21	1.32	4.27			0.03
Transit	1	0.01	6.1799844					0.212		5215	0.86	0.81	4.56			0.01
Transit	1	0.07	1.5690665					0.141		6199	1.2	1.32	4.27			0.07
Transit	1	-0.06	5.94566534					0.112		4002	0.6	0.57	4.7			-0.06
Transit	1	-0.17	1.52372816					0.127		3959	0.56	0.54	4.72			-0.17
Transit	1	-0.01	6.14727918					0.071		4868	0.79	0.74	4.6			-0.01
Transit	1	0.03	34.3511874					0.247		5816	1.02	1.02	4.43			0.03
Transit	1	-0.01	3.00725242					0.17		5612	0.94	0.92	4.49			-0.01
Transit	1	0.21	13.24503188					0.145		5758	1.08	1.36	4.21			0.21
Transit	1	0.09	77.2548396					0.293		5956	1.1	1.16	4.35			0.09
Transit	1	0.01	3.85691855					0.09		5345	0.88	0.84	4.54			0.01
Transit	1	-0.06	1.5432066					0.1		5923	1.03	1.14	4.33			-0.06
Transit	1	-0.02	33.4177993					0.3		5049	0.81	0.77	4.58			-0.02
Transit	1	-0.02	2.05333679					0.099		6113	1.12	1.28	4.27			-0.02
Transit	1	0.08	219.3217528					0.644		6000	1.11	1.14	4.37			0.08
Transit	1	0.01	0.69384285					0.054		5589	0.96	0.94	4.48			0.01
Transit	1	0.05	23.12748644					0.127		5975	1.08	1.08	4.4			0.05
Transit	1	-0.09	5.13248562					0.163		3753	0.52	0.49	4.76			-0.09
Transit	1	-0.04	198.680179					0.201		5321	0.86	0.82	4.55			-0.04
Transit	1	0	1.43474156					0.13		5851	1.01	1.03	4.42			0
Transit	1	-0.09	58.6017925					0.185		5862	0.99	1	4.44			-0.09
Transit	1	0.06	78.1000231					0.284		6112	1.14	1.21	4.33			0.06
Transit	1	-0.09	4.27103091					0.108		5658	0.94	0.92	4.48			-0.09
Transit	1	-0.1	2.89221751					0.111		4306	0.66	0.63	4.66			-0.1
Transit	1	-0.11	187.747029					0.291		5211	0.82	0.79	4.57			-0.11
Transit	1	-0.02	2.54307286					0.116		5794	0.99	0.99	4.45			-0.02
Transit	1	-0.02	2.16845259					0.252		5837	1.01	1	4.45			-0.02
Transit	1	0.05	6.42200058					0.156		6247	1.21	1.34	4.26			0.05
Transit	1	-0.04	81.3151059					0.22		5614	0.94	0.91	4.5			-0.04
Transit	1	-0.08	51.3285623					0.237		5724	0.96	0.94	4.48			-0.08
Transit	1	-0.01	19.79191978					0.203		6092	1.11	1.15	4.36			-0.01
Transit	1	0.13	5.03728015					0.11		6417	1.3	1.41	4.25			0.13
Transit	1	0.28	4.42157218					0.179		4299	0.71	0.68	4.62			0.28
Transit	1	0	1.25275217					0.147		6104	1.11	1.17	4.35			0
Transit	1	0.01	0.57103852					0.12		5268	0.86	0.82	4.55			0.01
Transit	1	-0.09	4.51005748					0.13		5406	0.88	0.84	4.54			-0.09
Transit	1	0.04	37.6467384					0.195		5893	1.05	1.06	4.41			0.04
Transit	1	-0.16	9.69312032					0.237		4781	0.73	0.7	4.62			-0.16
Transit	1	0.02	8.79617863					0.178		6077	1.1	1.15	4.36			0.02
Transit	1	0.04	14.36267939					0.269		6496	1.34	1.54	4.19			0.04
Transit	1	0.18	42.3004954					0.251		5931	1.12	1.17	4.35			0.18
Transit	1	-0.08	14.97435694					0.12		5374	0.87	0.83	4.55			-0.08
Transit	1	-0.51	23.5540725					0.152		8480	1.6	1.73	4.17			-0.51
Transit	1	0.01	41.6977827					0.227		5641	0.95	0.93	4.48			0.01
